id,group,phase,component,name,description,formula,unit,functional_unit,lifecycle_steps,emission_type,authoritative_system,provisional_owner,measurement_mode,granularity,accounting_boundary,representation_risk,data_coverage,feedback_latency,decision_lever,data_sources,proxy_refs,gap_refs,iso_refs,status,source_refs,unknowns
SCI-001,Core SCI,cross-cutting,Derived,Overall Software Carbon Intensity,Core SCI rate across the defined software boundary and functional unit.,((E * I) + M) / R,gCO2e/functional-unit,R: versioned functional unit from Functional Unit Registry,Plan; Build; Operate; Monitor,mixed,SCI calculation service + telemetry warehouse + functional-unit registry (Phase 2 binding TBD),Measurement governance owner (temporary via PRX-004),"derived SCI rate from E, I, M, and R components",per functional unit and reporting boundary version,"Versioned software boundary including compute, storage, network, and allocated embodied hardware effects.",Boundary version drift; missing source-system bindings; component-level data quality varies by KPI.,partial,TBD until SCI calculation cadence and authoritative component feeds are fixed.,"Architecture trade-offs, release gates, workload placement, and software-carbon reduction targets.",Energy telemetry or modeled energy demand; Carbon intensity factor with time and region attributes; Embodied emissions allocation table; Functional unit count,PRX-001; PRX-002; PRX-003; PRX-004,GAP-001; GAP-003; GAP-004; GAP-005,ISO/IEC 21031:2024; SCI Specification 2024,candidate,DHLCO2-8; DHLCO2-10; DHLCO2-11; DOCX section 5.1; DOCX table 9,"Final source-system bindings for E, I, M, and R are TBD.; BoundaryVersionID governance is TBD."
SCI-002,Core SCI,cross-cutting,Derived,Total software emissions for reporting period,Absolute emissions derived from SCI rate multiplied by activity volume for a defined period.,TotalEmissions_t = SCI_t * R_t,tCO2e/period,R total: functional-unit volume for the reporting period,Plan; Operate; Monitor,mixed,Reporting data mart + SCI calculation service (Phase 2 binding TBD),Sustainability reporting owner (temporary via PRX-004),aggregation from rate metric and activity volume,"per reporting period, service boundary, and functional unit",Same versioned boundary as SCI-001; totals may only aggregate compatible functional units and boundary versions.,"Aggregation risk if functional units, periods, or boundaries are mixed; reporting use requires maturity gate.",partial,TBD until reporting cadence and activity-volume feed are fixed.,"Portfolio baselining, reporting reconciliation, and prioritization of reduction initiatives.",SCI calculation output; Activity volume counters; Reporting period calendar and boundary version,PRX-002; PRX-004,GAP-002; GAP-004; GAP-005,GHG Protocol Scope 2 Guidance; GHG Protocol Scope 3 Standard; ISO 14064-1:2018,candidate,DHLCO2-8; DOCX section 5.2; DOCX table 9,Reporting boundary and consolidation rules are TBD.; Compatibility checks for aggregation are TBD.
BLD-001,Build Phase,build,Derived,CI/CD pipeline emissions per run,Candidate KPI for build-phase pipeline runs.,((E * I) + M) / R,gCO2e/run,R1: 1 CI/CD pipeline run,Build,direct,CI platform + runner telemetry + cloud billing scope (temporary placeholders),Build KPI workstream owner (temporary via PRX-004),"derived SCI from telemetry, billing, and carbon-intensity weighting",per pipeline run,Candidate boundary: one CI/CD pipeline run including runner compute and allocated cloud usage; shared-runner allocation remains TBD.,Proxy use; shared-runner allocation uncertainty; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until source-system bindings and reporting cadence are fixed.,"Pipeline scheduling, runner selection, and shared-runner allocation policy.",CI logs (TBD system name); Runner metrics (TBD metric ids); Cloud billing/usage (TBD account scope),PRX-001; PRX-004,GAP-001; GAP-004; GAP-005,TBD,candidate,DHLCO2-10; Offer para 45; Offer para 62,Carbon intensity source is TBD.; Shared runner allocation rule is TBD.
BLD-002,Build Phase,build,Derived,Test environment emissions per test-hour,Candidate KPI for test environment operation.,((E * I) + M) / R,gCO2e/test-hour,R1: 1 CI/CD pipeline run,Test,direct,Test environment telemetry + infrastructure metrics + cloud billing scope (temporary placeholders),Build KPI workstream owner (temporary via PRX-004),"derived SCI from environment telemetry, billing, and carbon-intensity weighting",per test-hour,Candidate boundary: test environment operation window allocated to test-hours; cross-team allocation remains TBD.,Proxy use; boundary uncertainty; cross-team allocation uncertainty; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until environment telemetry bindings and reporting cadence are fixed.,"Test environment runtime, sizing, and shutdown policy.",Test environment telemetry (TBD provider); Infrastructure metrics (TBD metric ids); Cloud billing/usage (TBD account scope),PRX-001; PRX-004,GAP-001; GAP-004; GAP-005,TBD,candidate,DHLCO2-10; Offer para 45; Offer para 62,Test environment boundary is TBD.; Allocation across teams is TBD.
BLD-003,Build Phase,build,Energy,Build minutes per artifact,Candidate KPI for build effort and energy proxy.,((E * I) + M) / R,gCO2e/artifact,R1: 1 CI/CD pipeline run,Build; Release,mixed,CI platform + artifact registry metrics (temporary placeholders),Build KPI workstream owner (temporary via PRX-004),derived SCI with build-time telemetry and artifact allocation logic,per artifact or release event,Candidate boundary: build and release activity per artifact or release event; artifact granularity remains TBD.,Proxy use; artifact granularity uncertainty; energy-conversion uncertainty; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until build-stage bindings and release-event cadence are fixed.,"Build-stage optimization, artifact packaging, and release frequency.",CI logs (TBD build stage granularity); Artifact registry metrics (TBD source),PRX-001; PRX-004,GAP-001; GAP-004; GAP-005,TBD,candidate,DHLCO2-10; Offer para 45; Offer para 62,Artifact granularity is TBD.; Energy conversion from build minutes is TBD.
BLD-004,Build Phase,build,Derived,ML training emissions per run,Candidate KPI for model training in development.,((E * I) + M) / R,gCO2e/training-run,R1: 1 CI/CD pipeline run,Build; Test,mixed,Training telemetry + GPU/CPU metrics + cloud billing scope (temporary placeholders),Build KPI workstream owner (temporary via PRX-004),derived SCI with workload telemetry and amortized hardware contribution,per training run,Candidate boundary: one training run including workload telemetry and allocated hardware contribution; attribution remains TBD.,Proxy use; hardware amortization uncertainty; training attribution uncertainty; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until training telemetry bindings and reporting cadence are fixed.,"Training frequency, hardware selection, and run-gating policy.",Training telemetry (TBD platform); GPU/CPU metrics (TBD metric ids); Cloud billing/usage (TBD account scope),PRX-001; PRX-003; PRX-004,GAP-001; GAP-003; GAP-004; GAP-005,TBD,candidate,DHLCO2-10; Offer para 45; Offer para 62,Training boundary and attribution are TBD.; Embodied carbon treatment for hardware is TBD.
BLD-005,Build Phase,build,Embodied,Embodied carbon amortization per story point,Candidate KPI for indirect build emissions.,((E * I) + M) / R,gCO2e/story-point,R1: 1 CI/CD pipeline run,Plan; Build,indirect,Hardware inventory + amortization table + planning system (temporary placeholders),Build KPI workstream owner (temporary via PRX-004),estimated amortized emissions model,per story point or planning increment,Candidate boundary: hardware embodied emissions allocated to planning increments or story points; amortization method remains TBD.,Amortization uncertainty; normalization uncertainty; source-system identifiers TBD; ISO mapping incomplete.,partial,"TBD until inventory source, planning binding, and refresh cadence are fixed.","Hardware refresh policy, amortization policy, and planning normalization.",Hardware inventory (TBD source); Lifecycle amortization table (TBD method); Planning system story points (TBD source),PRX-003; PRX-004,GAP-003; GAP-004; GAP-005,TBD,candidate,DHLCO2-10; DHLCO2-4; Offer para 45; Offer para 64,Amortization method is TBD.; Story-point normalization is TBD.
RUN-001,Run Phase,run,Derived,Emissions per transaction,Candidate KPI for run-phase SCI rate using operational R.,((E * I) + M) / R,gCO2e/transaction,R2: 1 service request (Phase 1 decision; extension path to business-level units planned),Operate; Monitor,mixed,APM traces + operational logs (temporary placeholders),Run KPI workstream owner (temporary via PRX-004),derived SCI with service-request denominator (R2a),per business transaction or service request count,Candidate boundary: operational service-request scope in Phase 1 with extension path to business transaction.,Proxy use; transaction taxonomy uncertainty; operative request-count binding TBD; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until APM/log bindings and reporting cadence are fixed.,"Transaction design, service optimization, and boundary selection.",APM traces (TBD source); Operational logs (TBD source); Carbon intensity feed (Phase 1: national averages via UBA; Phase 2: IEA/EMBER; target: Electricity Maps),PRX-001; PRX-002; PRX-004,GAP-001; GAP-002; GAP-004; GAP-005,TBD,candidate,DHLCO2-11; DHLCO2-8; Offer para 46; Offer para 62,Transaction definition boundary is TBD (R2a service-request decided for Phase 1; extension to business-level units planned).; Operative data source for request counting is TBD (requires stakeholder alignment on monitoring system).
RUN-002,Run Phase,run,Energy,Energy per request,Candidate KPI for request-level operational energy.,((E * I) + M) / R,Wh/request,R2: 1 service request (Phase 1 decision; extension path to business-level units planned),Operate,direct,Service metrics + infrastructure metrics (temporary placeholders),Run KPI workstream owner (temporary via PRX-004),observed energy metric with carbon-intensity weighting; R2a service-request denominator,per request,Candidate boundary: request-level system boundary per service request; operative counter system remains TBD.,Proxy use; request-boundary uncertainty; operative denominator binding TBD; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until service/infrastructure bindings and reporting cadence are fixed.,"Request efficiency, autoscaling, and infrastructure right-sizing.",Service metrics (TBD source); Infrastructure metrics (TBD metric ids); Carbon intensity feed (Phase 1: national averages via UBA; Phase 2: IEA/EMBER; target: Electricity Maps),PRX-001; PRX-002; PRX-004,GAP-001; GAP-002; GAP-004; GAP-005,TBD,candidate,DHLCO2-11; Offer para 46; Offer para 62,Request boundary definition is TBD (R2a decided; operative system TBD).; Carbon intensity: Phase 1 uses national averages; sampling strategy for Phase 2+ is TBD.
RUN-003,Run Phase,run,Derived,Data transfer emissions per GB,Candidate KPI for network transfer in operations.,((E * I) + M) / R,gCO2e/GB,R2: 1 service request (Phase 1 decision; extension path to business-level units planned),Deploy; Operate,direct,Network metrics + data egress billing (temporary placeholders),Run KPI workstream owner (temporary via PRX-004),derived SCI from transfer volumes and carbon-intensity weighting,per transferred GB,Candidate boundary: data transfer within a defined service boundary per GB; internal versus external split remains TBD.,Proxy use; service-boundary uncertainty; traffic-split uncertainty; source-system identifiers TBD; ISO mapping incomplete.,partial,TBD until network and billing bindings plus reporting cadence are fixed.,"Payload size, egress routing, and caching strategy.",Network metrics (TBD source); Data egress billing (TBD source); Carbon intensity feed (Phase 1: national averages via UBA; Phase 2: IEA/EMBER; target: Electricity Maps),PRX-001; PRX-002; PRX-004,GAP-001; GAP-002; GAP-004; GAP-005,TBD,candidate,DHLCO2-11; Offer para 46; Offer para 62,Service boundary for transfer accounting is TBD (R2a decided; operative system TBD).; Internal vs external traffic split is TBD.
